VA Station Number,Services,Satisfaction,Wait Times
vha_358,"['Audiology', 'Cardiology', 'Dermatology', 'Ophthalmology', 'PrimaryCare', 'SpecialtyCare']",{},"[{'service': 'Audiology', 'new': 115.428571, 'established': 22.777777}, {'service': 'Cardiology', 'new': 7.5, 'established': 21.131578}, {'service': 'Dermatology', 'new': 94.333333, 'established': 4.25}, {'service': 'Ophthalmology', 'new': 76.666666, 'established': 24.979166}, {'service': 'PrimaryCare', 'new': None, 'established': 0.0}, {'service': 'SpecialtyCare', 'new': 77.592592, 'established': 21.32317}]"
vha_402,"['Audiology', 'Cardiology', 'DentalServices', 'Dermatology', 'EmergencyCare', 'Gastroenterology', 'Gynecology', 'MentalHealthCare', 'Nutrition', 'Ophthalmology', 'Optometry', 'Orthopedics', 'Podiatry', 'PrimaryCare', 'SpecialtyCare', 'UrgentCare', 'Urology', 'WomensHealth']","{'primary_care_urgent': 0.8999999761581421, 'primary_care_routine': 0.9300000071525574, 'specialty_care_urgent': 0.8600000143051147, 'specialty_care_routine': 0.949999988079071}","[{'service': 'Audiology', 'new': 27.136842, 'established': 41.558139}, {'service': 'Cardiology', 'new': 27.130434, 'established': 8.193717}, {'service': 'Dermatology', 'new': 34.653846, 'established': 10.534482}, {'service': 'Gastroenterology', 'new': 20.9, 'established': 3.166666}, {'service': 'Gynecology', 'new': 72.571428, 'established': 15.960784}, {'service': 'MentalHealthCare', 'new': 9.272727, 'established': 1.692307}, {'service': 'Ophthalmology', 'new': 25.333333, 'established': 17.195266}, {'service': 'Optometry', 'new': 32.564516, 'established': 34.232142}, {'service': 'Orthopedics', 'new': 22.133333, 'established': 20.291139}, {'service': 'PrimaryCare', 'new': 25.533333, 'established': 11.203636}, {'service': 'SpecialtyCare', 'new': 26.305035, 'established': 20.033777}, {'service': 'Urology', 'new': 48.333333, 'established': 10.411392}, {'service': 'WomensHealth', 'new': 140.0, 'established': 5.850746}]"
vha_402GA,"['Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.9700000286102295, 'primary_care_routine': 0.9800000190734863}","[{'service': 'Dermatology', 'new': 10.0, 'established': None}, {'service': 'MentalHealthCare', 'new': None, 'established': 2.766666}, {'service': 'PrimaryCare', 'new': 26.8, 'established': 4.198019}, {'service': 'SpecialtyCare', 'new': 10.0, 'established': None}]"
vha_402GB,"['Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 0.9900000095367432},"[{'service': 'Dermatology', 'new': 0.0, 'established': None}, {'service': 'MentalHealthCare', 'new': None, 'established': 0.0}, {'service': 'PrimaryCare', 'new': 17.333333, 'established': 27.105263}, {'service': 'SpecialtyCare', 'new': 1.5, 'established': None}]"
vha_402GC,"['Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.949999988079071, 'primary_care_routine': 0.9700000286102295}","[{'service': 'Dermatology', 'new': 10.0, 'established': None}, {'service': 'MentalHealthCare', 'new': 0.0, 'established': 0.47619}, {'service': 'PrimaryCare', 'new': 25.0, 'established': 1.511627}, {'service': 'SpecialtyCare', 'new': 10.0, 'established': None}]"
vha_402GD,"['Audiology', 'Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.7099999785423279, 'primary_care_routine': 0.8899999856948853}","[{'service': 'Audiology', 'new': 13.0, 'established': 149.75}, {'service': 'Dermatology', 'new': 5.0, 'established': None}, {'service': 'MentalHealthCare', 'new': 4.0, 'established': 10.231481}, {'service': 'PrimaryCare', 'new': 13.0, 'established': 22.016806}, {'service': 'SpecialtyCare', 'new': 7.0, 'established': 149.75}]"
vha_402GE,"['Dermatology', 'MentalHealthCare', 'Optometry', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.6600000262260437, 'primary_care_routine': 0.8600000143051147}","[{'service': 'Dermatology', 'new': 5.636363, 'established': 0.0}, {'service': 'MentalHealthCare', 'new': 6.3, 'established': 6.265734}, {'service': 'Optometry', 'new': 75.932203, 'established': 49.25}, {'service': 'PrimaryCare', 'new': 20.0, 'established': 10.091286}, {'service': 'SpecialtyCare', 'new': 52.78409, 'established': 45.741935}]"
vha_402GF,"['Dermatology', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 0.9200000166893005},"[{'service': 'Dermatology', 'new': 6.666666, 'established': 0.0}, {'service': 'PrimaryCare', 'new': 16.5, 'established': 11.978947}, {'service': 'SpecialtyCare', 'new': 6.666666, 'established': 0.0}]"
vha_402HB,"['Audiology', 'Cardiology', 'DentalServices', 'Dermatology', 'MentalHealthCare', 'Optometry', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.8799999952316284, 'primary_care_routine': 0.9800000190734863}","[{'service': 'Audiology', 'new': 59.317073, 'established': 32.5}, {'service': 'Cardiology', 'new': 12.5, 'established': 14.538461}, {'service': 'Dermatology', 'new': 32.8125, 'established': 46.710526}, {'service': 'MentalHealthCare', 'new': 22.222222, 'established': 6.984251}, {'service': 'Optometry', 'new': 7.942857, 'established': 61.457142}, {'service': 'PrimaryCare', 'new': 14.058823, 'established': 12.475609}, {'service': 'SpecialtyCare', 'new': 30.540983, 'established': 37.621212}]"
vha_402HC,"['Cardiology', 'Dermatology', 'Gastroenterology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.8500000238418579, 'primary_care_routine': 0.8899999856948853}","[{'service': 'Cardiology', 'new': 16.666666, 'established': 5.210526}, {'service': 'Dermatology', 'new': 6.75, 'established': 7.0}, {'service': 'Gastroenterology', 'new': 90.0, 'established': 14.125}, {'service': 'MentalHealthCare', 'new': 0.0, 'established': 6.88421}, {'service': 'PrimaryCare', 'new': 20.4, 'established': 9.797101}, {'service': 'SpecialtyCare', 'new': 24.6, 'established': 6.813725}]"
