VA Station Number,HCS,Address,City,State,County FIPS,Cases,Active,Convalescent,Deaths,totpop,medhhincome,medhvalue,male,age_under18,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85pl,race_white,race_black,race_nativeam,race_asian,married,divorced,educ_lesshs,educ_somecoll,educ_college,educ_collpl,urate_all,urate_male,urate_female,HSdropout_male,HSdropout_female,ind_agmining,ind_const,ind_manuf,ind_wholesale,ind_retail,ind_transport,ind_info,ind_FIRE,ind_pro,ind_educhealth,ind_artentertain,ind_otherserve,ind_public,occ_mgmtbiz,occ_pro,occ_healthsupp,occ_protective,occ_food,occ_building,occ_personalcare,occ_sales,occ_officeadmin,occ_farming,occ_constextract,occ_production,occ_transport,income_less10k,income_10k15,income_15k20,income_20k25,income_25k30,income_30k35,income_35k40,income_40k45,income_45k50,income_50k60,income_60k75,income_75k100,income_100k125,income_125k150,income_150kpl,rent_share_income,poverty_under18,poverty_18_64,poverty_65pl,poverty_white,poverty_black,poverty_nativeA,vetshare_18_64,vetshare_65pl,Services,Satisfaction,Wait Times
vha_358,358,1501 Roxas Boulevard,Pasay City,PH,25011.0,,,,,70935.0,55040.08696168104,212034.0704330073,0.48778459,0.17706351,0.072813138,0.12071615,0.11679707,0.13592726,0.17417353,0.12629873,0.050666101,0.025544513,0.93104953,0.015140622,0.0030873334000000004,0.016423486,0.48549652,0.12746938,0.34920129,0.27895132,0.19695546,0.17489193,0.05152471,0.059726875,0.043398347,0.0069052102,0.048410404,0.023281597,0.06221946,0.097290576,0.021064302000000003,0.1049159,0.037856255,0.02084798,0.039776105,0.077172682,0.34862906,0.076740034,0.044345897,0.045860149,0.13374074,0.2865448,0.044399977,0.021578064,0.048266724,0.039694987,0.026391217,0.082661837,0.10813369,0.010085988,0.083040401,0.060029205,0.055432372,0.043425217,0.054207332,0.05592192,0.055229492000000005,0.041512795,0.046920337,0.040721446,0.048536006,0.037094433,0.079893164,0.10900818,0.14204696,0.090015829,0.054372199,0.1010947,0.18668728,0.1307345,0.11026913,0.059476096,0.094846278,0.46137786,0.0,0.041526761,0.048756253,"['Audiology', 'Cardiology', 'Dermatology', 'Ophthalmology', 'PrimaryCare', 'SpecialtyCare']",{},"[{'service': 'Audiology', 'new': 115.428571, 'established': 22.777777}, {'service': 'Cardiology', 'new': 7.5, 'established': 21.131578}, {'service': 'Dermatology', 'new': 94.333333, 'established': 4.25}, {'service': 'Ophthalmology', 'new': 76.666666, 'established': 24.979166}, {'service': 'PrimaryCare', 'new': None, 'established': 0.0}, {'service': 'SpecialtyCare', 'new': 77.592592, 'established': 21.32317}]"
vha_402,402,1 VA Center,Augusta,ME,23011.0,,,,,121545.0,48943.52949824964,143328.7436420241,0.48672509,0.19601794,0.085589699,0.11262495,0.11507672,0.14472006,0.157308,0.10928462,0.055197664,0.024180345,0.95857501,0.0085976385,0.005479452199999999,0.0094861984,0.48778123,0.16356994,0.41179839,0.31767011,0.16666858,0.10386293,0.049018659000000006,0.060929146,0.036910459,0.023047816,0.023591088,0.017753186,0.067618258,0.074763656,0.026290331,0.14073558,0.036338024,0.014545393,0.042091686,0.08009301099999999,0.29847756,0.073643476,0.042600859000000005,0.08504896599999999,0.13771449,0.23113087,0.044399939000000006,0.014443558,0.052071489000000006,0.040326551,0.026952257,0.10035812,0.13932687,0.0087408135,0.092211343,0.045129754,0.067193948,0.06326878799999999,0.050657716,0.056342400999999986,0.054615654000000007,0.055740949000000005,0.058845215,0.05479027,0.04530286,0.038667496,0.080245234,0.10698071,0.13749951,0.078460284,0.048814557,0.06976834700000001,0.16867879,0.18984212,0.12477993,0.099089667,0.12527049999999998,0.49152541,0.19213313,0.05318626,0.052346423,"['Audiology', 'Cardiology', 'DentalServices', 'Dermatology', 'EmergencyCare', 'Gastroenterology', 'Gynecology', 'MentalHealthCare', 'Nutrition', 'Ophthalmology', 'Optometry', 'Orthopedics', 'Podiatry', 'PrimaryCare', 'SpecialtyCare', 'UrgentCare', 'Urology', 'WomensHealth']","{'primary_care_urgent': 0.8999999761581421, 'primary_care_routine': 0.9300000071525574, 'specialty_care_urgent': 0.8600000143051147, 'specialty_care_routine': 0.949999988079071}","[{'service': 'Audiology', 'new': 27.136842, 'established': 41.558139}, {'service': 'Cardiology', 'new': 27.130434, 'established': 8.193717}, {'service': 'Dermatology', 'new': 34.653846, 'established': 10.534482}, {'service': 'Gastroenterology', 'new': 20.9, 'established': 3.166666}, {'service': 'Gynecology', 'new': 72.571428, 'established': 15.960784}, {'service': 'MentalHealthCare', 'new': 9.272727, 'established': 1.692307}, {'service': 'Ophthalmology', 'new': 25.333333, 'established': 17.195266}, {'service': 'Optometry', 'new': 32.564516, 'established': 34.232142}, {'service': 'Orthopedics', 'new': 22.133333, 'established': 20.291139}, {'service': 'PrimaryCare', 'new': 25.533333, 'established': 11.203636}, {'service': 'SpecialtyCare', 'new': 26.305035, 'established': 20.033777}, {'service': 'Urology', 'new': 48.333333, 'established': 10.411392}, {'service': 'WomensHealth', 'new': 140.0, 'established': 5.850746}]"
vha_402GA,402,163 Van Buren Road,Caribou,ME,23003.0,,,,,68269.0,36825.315398709485,90620.75404463461,0.49429464,0.18512063,0.076594062,0.097980052,0.10442514,0.14293456,0.16590253,0.1277886,0.066223323,0.033031099,0.95013845,0.0097408779,0.018295273,0.0042918455,0.53778297,0.12046449,0.49742073,0.31336057,0.13062973,0.058588944,0.050832856,0.057849757,0.042793564000000006,0.054810494,0.024453025,0.06031265900000001,0.06350646900000001,0.10539587,0.014960498,0.12950076,0.059371322,0.014994117,0.039300721,0.051470835,0.28260213,0.064716756,0.050159689,0.063708186,0.12233989,0.18594722,0.05278198,0.021650698,0.047402926,0.0431333,0.02343251,0.094772227,0.12123046,0.031635568,0.097596236,0.062262565,0.095814422,0.091921069,0.087603308,0.074953616,0.065474786,0.064968795,0.053567212,0.063720696,0.047292966,0.042435486,0.07859672599999999,0.095193118,0.1015011,0.058964413,0.029988194,0.043818519000000014,0.16904379,0.21964936,0.17287895,0.12910686,0.16241543,0.37717909,0.4585726,0.046563912,0.060934156,"['Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.9700000286102295, 'primary_care_routine': 0.9800000190734863}","[{'service': 'Dermatology', 'new': 10.0, 'established': None}, {'service': 'MentalHealthCare', 'new': None, 'established': 2.766666}, {'service': 'PrimaryCare', 'new': 26.8, 'established': 4.198019}, {'service': 'SpecialtyCare', 'new': 10.0, 'established': None}]"
vha_402GB,402,50 Union Street,Calais,ME,23029.0,,,,,31694.0,38267.84985084857,102179.5236931849,0.49264845,0.19013062,0.07446204099999999,0.094844453,0.10336341,0.13485202,0.16987443,0.13870133,0.066952735,0.026818957,0.91171831,0.0047958605,0.050703604000000006,0.0043856883,0.50917858,0.14973642,0.50665009,0.28509524,0.13686287,0.071391799,0.069653176,0.076308541,0.062310029,0.044295304,0.033829499,0.13039763,0.067412242,0.082168378,0.021512892,0.10655483,0.045977011,0.010717615,0.038055297,0.045200374,0.26739672,0.067878224,0.054054055,0.06267474599999999,0.11152532,0.17722896,0.047840945,0.027958993,0.05576266,0.036657348,0.026638707,0.071606092,0.0990991,0.099487416,0.095448896,0.058480896,0.092264682,0.094813846,0.07590902599999999,0.067724176,0.06924525599999999,0.062002029000000014,0.06453716,0.053455021,0.044618282,0.047225844,0.090033315,0.10328843,0.10604085,0.06330581,0.024699407000000003,0.033101551,0.17079064,0.25293711,0.18676868,0.12379467,0.17179514,0.28070176,0.40348613,0.051879052,0.072271273,"['Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 0.9900000095367432},"[{'service': 'Dermatology', 'new': 0.0, 'established': None}, {'service': 'MentalHealthCare', 'new': None, 'established': 0.0}, {'service': 'PrimaryCare', 'new': 17.333333, 'established': 27.105263}, {'service': 'SpecialtyCare', 'new': 1.5, 'established': None}]"
vha_402GC,402,431 Franklin Street,Rumford,ME,23017.0,,,,,57325.0,43715.26681081735,131492.5635219086,0.49395552,0.19014391,0.07171391,0.10086349,0.11335368,0.14637592,0.17287396,0.120628,0.054443959000000014,0.02960314,0.96279109,0.0044657653000000005,0.0030004361,0.0047623203,0.47683224,0.16077527,0.52212036,0.28787163,0.12813726,0.061870776,0.06044396,0.069943823,0.050226588,0.079912022,0.082251079,0.031682096,0.093651965,0.10515512,0.021147218,0.1407878,0.040706456,0.010379952,0.042333167000000005,0.057244666,0.26112553,0.11301754,0.047290754,0.03547775,0.10472908,0.1795577,0.055772882,0.015802316,0.065068364,0.055695418,0.023354894,0.089623921,0.11301754,0.01526008,0.12529533,0.069599904,0.087222591,0.067935042,0.055971943,0.06663783599999999,0.06303449700000001,0.06130489,0.061833382,0.056500431,0.048813298,0.046843469000000006,0.08527913699999999,0.11626789999999998,0.12126453,0.071826652,0.032141827000000005,0.044345152,0.17920677,0.26150823,0.15495735,0.073368855,0.15300176,0.61847389,0.41860464,0.049744707,0.055690803,"['Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.949999988079071, 'primary_care_routine': 0.9700000286102295}","[{'service': 'Dermatology', 'new': 10.0, 'established': None}, {'service': 'MentalHealthCare', 'new': 0.0, 'established': 0.47619}, {'service': 'PrimaryCare', 'new': 25.0, 'established': 1.511627}, {'service': 'SpecialtyCare', 'new': 10.0, 'established': None}]"
vha_402GD,402,655 Main Street,Saco,ME,23031.0,,,,,203102.0,60603.09161813533,223038.0191384272,0.48758259,0.19250919,0.076572366,0.11658181,0.11540507,0.14649782,0.15983102,0.11298264,0.054450475,0.025169618,0.95700192,0.008975785200000001,0.0041604713,0.012830991000000002,0.53564924,0.13430196,0.37580749,0.31050649,0.21085072,0.10283528,0.041392617,0.048413735,0.033902079,0.020579774,0.02074074,0.008901827,0.073114797,0.12542123,0.023373147,0.12700315,0.034353003,0.020330988,0.070924439,0.093080722,0.24796878,0.097601846,0.039098773,0.038827319,0.15180844,0.21220234,0.039145574,0.018973716,0.060861915,0.035766438,0.025029954,0.10611989,0.11952411,0.0034540212,0.097349107,0.06703984,0.06272465,0.037283812,0.043899443,0.042422738,0.039256688,0.044891786,0.043840375,0.043923069,0.03917399,0.043084301,0.077674605,0.11466307,0.145981,0.11474577,0.059989605,0.10916974,0.17431109,0.097420976,0.084043145,0.071404286,0.08097276099999999,0.25395927,0.19952211,0.052916951,0.053822663,"['Audiology', 'Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.7099999785423279, 'primary_care_routine': 0.8899999856948853}","[{'service': 'Audiology', 'new': 13.0, 'established': 149.75}, {'service': 'Dermatology', 'new': 5.0, 'established': None}, {'service': 'MentalHealthCare', 'new': 4.0, 'established': 10.231481}, {'service': 'PrimaryCare', 'new': 13.0, 'established': 22.016806}, {'service': 'SpecialtyCare', 'new': 7.0, 'established': 149.75}]"
vha_402GE,402,15 Challenger Drive,Lewiston,ME,23001.0,,,,,107444.0,47540.757213701574,141941.6912841981,0.48875692,0.21898849,0.087468818,0.12129109,0.12020215,0.142316,0.14123636,0.098088309,0.049691003,0.02071777,0.91520232,0.021034213,0.0023174863,0.0075574252,0.49264914,0.14184688,0.4625656,0.31547165,0.14797966,0.073983118,0.045988984,0.048451427000000005,0.04343605,0.049535602000000005,0.038294796,0.013175669,0.055774532,0.11573123,0.01931938,0.13549474,0.036751237,0.018338608,0.072059065,0.096615404,0.27826199,0.080404893,0.0459668,0.032106441,0.13379227,0.20501859,0.051777419000000005,0.019559948,0.057662059,0.033901442000000004,0.028997576,0.091970615,0.13490257,0.0083273193,0.085105203,0.074520253,0.074464738,0.06493592299999999,0.058561035,0.064891957,0.044953946,0.043481126,0.055219714,0.058011476,0.054516278,0.041436769,0.086258821,0.10668045,0.12930029999999998,0.081422701,0.050009891,0.060319625,0.17528981,0.17664970000000002,0.12953328,0.083084002,0.11265411,0.53882134,0.56896549,0.052532431,0.050934758,"['Dermatology', 'MentalHealthCare', 'Optometry', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.6600000262260437, 'primary_care_routine': 0.8600000143051147}","[{'service': 'Dermatology', 'new': 5.636363, 'established': 0.0}, {'service': 'MentalHealthCare', 'new': 6.3, 'established': 6.265734}, {'service': 'Optometry', 'new': 75.932203, 'established': 49.25}, {'service': 'PrimaryCare', 'new': 20.0, 'established': 10.091286}, {'service': 'SpecialtyCare', 'new': 52.78409, 'established': 45.741935}]"
vha_402GF,402,99 River Road,Lincoln,ME,23019.0,,,,,151748.0,45656.215410201934,130197.9813212709,0.49553207,0.18475367,0.10754672,0.13228510000000002,0.11264069,0.1386641,0.14989324,0.10025173,0.051756859,0.022207871,0.94756436,0.0090281256,0.01140707,0.010418588,0.46834147,0.13633224,0.42013371,0.3085146,0.17164221,0.099709474,0.05455184,0.062933013,0.04560611,0.01934039,0.028088491,0.017238297,0.065857716,0.05095822,0.019907273,0.15489702,0.045138747,0.013248586,0.041575521,0.070494033,0.34455955,0.09007112699999999,0.04747754,0.038576361,0.11416072,0.24770592,0.047271177,0.020498851,0.06483965400000001,0.036925446,0.03026676,0.11001968,0.12240153,0.0089974822,0.08778736,0.042002007,0.067123421,0.07575757799999999,0.06476339,0.066062555,0.055328202,0.053298257,0.055393159,0.051008478,0.044756245,0.038309135,0.085144043,0.09771347,0.12926695,0.079833709,0.040631395,0.062733442,0.18908738,0.19448027,0.16626473,0.081702791,0.15011451,0.25070423,0.41992664,0.047780242,0.045512705999999986,"['Dermatology', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 0.9200000166893005},"[{'service': 'Dermatology', 'new': 6.666666, 'established': 0.0}, {'service': 'PrimaryCare', 'new': 16.5, 'established': 11.978947}, {'service': 'SpecialtyCare', 'new': 6.666666, 'established': 0.0}]"
vha_402HB,402,35 State Hospital Street,Bangor,ME,23019.0,,,,,151748.0,45656.215410201934,130197.9813212709,0.49553207,0.18475367,0.10754672,0.13228510000000002,0.11264069,0.1386641,0.14989324,0.10025173,0.051756859,0.022207871,0.94756436,0.0090281256,0.01140707,0.010418588,0.46834147,0.13633224,0.42013371,0.3085146,0.17164221,0.099709474,0.05455184,0.062933013,0.04560611,0.01934039,0.028088491,0.017238297,0.065857716,0.05095822,0.019907273,0.15489702,0.045138747,0.013248586,0.041575521,0.070494033,0.34455955,0.09007112699999999,0.04747754,0.038576361,0.11416072,0.24770592,0.047271177,0.020498851,0.06483965400000001,0.036925446,0.03026676,0.11001968,0.12240153,0.0089974822,0.08778736,0.042002007,0.067123421,0.07575757799999999,0.06476339,0.066062555,0.055328202,0.053298257,0.055393159,0.051008478,0.044756245,0.038309135,0.085144043,0.09771347,0.12926695,0.079833709,0.040631395,0.062733442,0.18908738,0.19448027,0.16626473,0.081702791,0.15011451,0.25070423,0.41992664,0.047780242,0.045512705999999986,"['Audiology', 'Cardiology', 'DentalServices', 'Dermatology', 'MentalHealthCare', 'Optometry', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.8799999952316284, 'primary_care_routine': 0.9800000190734863}","[{'service': 'Audiology', 'new': 59.317073, 'established': 32.5}, {'service': 'Cardiology', 'new': 12.5, 'established': 14.538461}, {'service': 'Dermatology', 'new': 32.8125, 'established': 46.710526}, {'service': 'MentalHealthCare', 'new': 22.222222, 'established': 6.984251}, {'service': 'Optometry', 'new': 7.942857, 'established': 61.457142}, {'service': 'PrimaryCare', 'new': 14.058823, 'established': 12.475609}, {'service': 'SpecialtyCare', 'new': 30.540983, 'established': 37.621212}]"
vha_402HC,402,144 Fore Street,Portland,ME,23005.0,,,,,290944.0,64459.09717289173,248929.66315118,0.48557797,0.19141141,0.088769659,0.13300154,0.12203723,0.14540599,0.1462687,0.10144908,0.047751456,0.023904944,0.91945875,0.02914994,0.0018800868,0.021120902,0.49647918,0.12687552,0.27239084,0.26060155,0.28855401,0.17845359,0.033716276,0.038582053,0.028720912,0.034415222999999995,0.015328874,0.011486273,0.053303,0.068582907,0.023970544,0.12675191,0.033510409,0.023034533,0.093570046,0.12541299,0.27200708,0.095739603,0.046701338,0.025929347,0.18012311,0.27862114,0.027695989,0.013810802,0.060499743,0.032314055,0.027262077000000003,0.11017028,0.11419327,0.006992183199999999,0.059991445,0.033603392999999995,0.054722514000000014,0.051964216,0.040863037000000005,0.037312996,0.035258152,0.035842862,0.039944202000000005,0.038799837,0.039100546,0.03688699,0.073941045,0.10533174,0.14026412,0.1086646,0.06702473,0.14880092,0.18609054,0.11237842,0.097699039,0.079209544,0.08522736300000001,0.37447441,0.21362799,0.034456622,0.041588955,"['Cardiology', 'Dermatology', 'Gastroenterology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.8500000238418579, 'primary_care_routine': 0.8899999856948853}","[{'service': 'Cardiology', 'new': 16.666666, 'established': 5.210526}, {'service': 'Dermatology', 'new': 6.75, 'established': 7.0}, {'service': 'Gastroenterology', 'new': 90.0, 'established': 14.125}, {'service': 'MentalHealthCare', 'new': 0.0, 'established': 6.88421}, {'service': 'PrimaryCare', 'new': 20.4, 'established': 9.797101}, {'service': 'SpecialtyCare', 'new': 24.6, 'established': 6.813725}]"
