VA Station Number,HCS,Address,City,State,County FIPS,totpop-log,medhhincome-log,medhvalue-log,male,age_under18,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85pl,race_white,race_black,race_nativeam,race_asian,married,divorced,educ_lesshs,educ_somecoll,educ_college,educ_collpl,urate_all,urate_male,urate_female,HSdropout_male,HSdropout_female,ind_agmining,ind_const,ind_manuf,ind_wholesale,ind_retail,ind_transport,ind_info,ind_FIRE,ind_pro,ind_educhealth,ind_artentertain,ind_otherserve,ind_public,occ_mgmtbiz,occ_pro,occ_healthsupp,occ_protective,occ_food,occ_building,occ_personalcare,occ_sales,occ_officeadmin,occ_farming,occ_constextract,occ_production,occ_transport,income_less10k,income_10k15,income_15k20,income_20k25,income_25k30,income_30k35,income_35k40,income_40k45,income_45k50,income_50k60,income_60k75,income_75k100,income_100k125,income_125k150,income_150kpl,rent_share_income,poverty_under18,poverty_18_64,poverty_65pl,poverty_white,poverty_black,poverty_nativeA,vetshare_18_64,vetshare_65pl,Num-Services,Avg-Satisfaction,Log-Cases,Log-Deaths,Cases,Active,Convalescent,Deaths,vetpop,vetpop-adj
vha_405,405,163 Veterans Drive,White River Junction,VT,50027,15.75832733,15.47855525,17.61307217,0.48806539,0.18485576,0.06329045400000001,0.10992838,0.10980208,0.14076172,0.17154095,0.1308568,0.068071514,0.020892344,0.95790857,0.007306908000000002,0.001118588,0.008389413,0.52499467,0.14298153,0.36860797,0.26791927,0.20639263,0.15708013,0.040996052000000005,0.038782857,0.043180905,0.020966271,0.076271184,0.023221448,0.066673703,0.10002815,0.019034551,0.11522764,0.032298923,0.017416086,0.039054252000000005,0.091689534,0.29378649999999995,0.12247555,0.046407711,0.032685947,0.14249524,0.25318414,0.032791499,0.011329252,0.059038773,0.059953555,0.026950954,0.093800575,0.10639645,0.012701428,0.082189851,0.066990361,0.052177891,0.050637599000000005,0.055491567,0.051254626,0.042739615,0.049280133,0.047305636,0.048046071,0.034348004,0.039201975,0.098724805,0.10884409,0.14035377,0.08983957,0.048004936,0.095927604,0.19347203,0.14195083,0.1040155,0.053633071,0.096909307,0.099150144,0.41666666,0.038156614,0.053082649,16.0,0.94250001,4.807354922,1.584962501,27.0,2.0,23.0,2.0,1906,1906
vha_405GA,405,186 North Street,Bennington,VT,50003,15.13253989,15.47855525,17.56090074,0.49028397,0.19265033,0.095016703,0.093179286,0.096018933,0.14178731,0.16124721,0.12321826,0.065395325,0.031486638,0.95748883,0.006403118,0.001726058,0.010857461,0.48376355,0.12128705,0.37417439,0.26841757,0.21737601,0.14003205,0.042642642,0.050249621,0.034941215,0.03155604,0.0,0.025778487000000003,0.072943993,0.13835976,0.016596327,0.13721912,0.020873731,0.021558115,0.032508269,0.081213646,0.272214,0.10197331,0.050074141,0.028687121,0.13607848,0.24512376,0.03165279,0.008269647,0.055264059,0.048135053,0.032166079,0.10009125,0.10682103,0.009182161,0.086061366,0.093931787,0.04722254,0.056273866,0.050981443,0.048100758,0.054398071,0.052790247,0.051718362,0.051383398,0.050780464,0.04836873,0.08226703099999999,0.10169491,0.12420446,0.079453342,0.051584378,0.096000537,0.18981901,0.15534554,0.11520325,0.068623565,0.11104076,0.59420288,0.074074075,0.030310344,0.057689656,5.0,0.924999982,4.807354922,1.584962501,27.0,2.0,23.0,2.0,1095,1095
vha_405GC,405,71 GSP Drive,Brattleboro,VT,50025,15.39710637,15.47855525,17.5841704,0.48521438,0.18375434,0.078818075,0.10938586,0.10560834,0.13696408,0.17538819,0.13001159,0.055643104000000006,0.024426419,0.94725376,0.01179606,0.0016454229999999998,0.011193511,0.49088931,0.14974163,0.36822754,0.24560025,0.21841609,0.16775613,0.05422207,0.058498509,0.050076518,0.045028143,0.032226563,0.021362059,0.08531130099999999,0.084580973,0.026885156,0.11771955,0.028984847,0.021225123,0.041719921,0.087410994,0.30313128,0.10206317,0.04400219,0.035603434,0.15934819,0.25324082,0.031769216,0.011457002,0.059110828,0.050894652,0.037155379,0.084444039,0.10174365,0.010133285,0.1027935,0.049570933,0.048338506,0.059315827,0.052568261,0.055654358,0.065697245,0.051469818,0.057589706,0.041845381,0.04268229,0.050685219,0.08410921699999999,0.092687517,0.13421907,0.08410921699999999,0.040642325,0.08672455,0.2007634,0.18409987,0.13942634,0.076592863,0.12791434,0.37175792,0.26760563,0.029187134,0.046847053,4.0,0.8549999890000001,4.807354922,1.584962501,27.0,2.0,23.0,2.0,1188,1188
vha_405HA,405,128 Lakeside Avenue,Burlington,VT,50007,17.306106200000002,15.47855525,18.02377597,0.49087331,0.18184286,0.16239232,0.13915287,0.11474095,0.12973614,0.1312665,0.082313083,0.038469132,0.020086145,0.90465409,0.025319034,0.002665811,0.041634783,0.45549673,0.10049894,0.25085634,0.24210487,0.29765311,0.20938571,0.037201624,0.038666833,0.035667878,0.025185442,0.013380057,0.010418041,0.049441732,0.10287265,0.020967955,0.11187305,0.03217724,0.022561431,0.05230999,0.10832344,0.30607939,0.097081192,0.039979778,0.045914106,0.16562267,0.32367358,0.027495714,0.01475889,0.058694888,0.030594751,0.025935207,0.093289815,0.10430129,0.005274956999999999,0.058848742,0.045496505,0.046013013,0.044984709000000005,0.04117737,0.039984711,0.040519878,0.033318043,0.044235475,0.034938838,0.040382262,0.037079509,0.076116204,0.097094804,0.14212538,0.10429664,0.077813454,0.14593272,0.21117088,0.1288261,0.12472762,0.069714703,0.10927325,0.25503877,0.13701923,0.028307734,0.031867933,7.0,0.930000007,4.807354922,1.584962501,27.0,2.0,23.0,2.0,3834,3834
vha_405HC,405,264 Cottage Street,Littleton,NH,33009,16.454620600000002,15.47855525,17.63683152,0.49171036,0.16650522,0.13341351,0.12063111,0.10234827,0.12909332,0.15491422,0.1122357,0.05495986,0.025898833,0.92455268,0.012426095,0.003975014,0.037144672,0.48292068,0.10623559,0.34204373,0.25331214,0.20322862,0.20141551,0.033601623,0.031367272,0.035901744,0.019427067,0.010954617,0.018391248,0.070139378,0.091656499,0.014965637,0.10833494,0.028068598,0.013937954,0.038902093,0.078639179,0.35264522,0.10996211,0.044896912,0.029460251,0.13043013,0.28961396,0.038923502,0.015008457,0.06123279,0.051683903,0.030209605,0.09204188,0.097073242,0.013124371,0.079003148,0.049414434000000014,0.052240562,0.045781538,0.038530156,0.048371315,0.045177255,0.041465238,0.050961096,0.048572745,0.039940149,0.037897099,0.082757823,0.10468462,0.13173343,0.087534532,0.058011051,0.13858195,0.17519358,0.14671338,0.099179283,0.057837386,0.095375352,0.31034482,0.26347306,0.033811778,0.049675245,5.0,0.985000014,4.807354922,1.584962501,27.0,2.0,23.0,2.0,2806,2806
vha_405HE,405,640 Marlboro Street,Keene,NH,33005,16.21871458,15.47855525,17.42725653,0.48806104,0.18124123,0.12336257,0.11708168,0.10344466,0.13424596,0.15449169,0.11010582,0.051978022,0.024048358,0.95269001,0.007697049,0.001888203,0.013820594,0.47905472,0.12779617,0.38349706,0.29051721,0.19514264,0.13084306,0.038105957,0.050090272000000005,0.025259292000000003,0.014549744,0.029345373,0.010706904,0.076517016,0.12788527,0.042205125,0.1235776,0.038843654,0.014765569,0.045168199000000006,0.06986878099999999,0.28470406,0.08854360900000001,0.042952117000000005,0.034262095,0.15373123,0.22935186,0.035407484,0.015412963,0.057543389,0.037474167,0.032643609,0.089763701,0.11817435,0.003012873,0.090759695,0.074051939,0.062672742,0.041096341,0.044460569000000005,0.053497806,0.048121639,0.045614962,0.04548303,0.041953892,0.040337741,0.041327219,0.069527358,0.12421254,0.1430786,0.094923973,0.057323791,0.10904054,0.18002759,0.12404595,0.10336674,0.061172534,0.099632449,0.16091955,0.026548672,0.037512813,0.052713353,4.0,0.939999998,4.807354922,1.584962501,27.0,2.0,23.0,2.0,2558,2558
vha_405HF,405,232 West Street,Rutland,VT,50021,15.8551118,15.47855525,17.317194399999998,0.49059436,0.17874917,0.096080847,0.10542743,0.10242438,0.14153156,0.16855904,0.12499789,0.05628195,0.025947733,0.96559983,0.008806708,0.004774518,0.009802102,0.49437627,0.1301239,0.4277505,0.26908311,0.19214574,0.11102064,0.037746675,0.041835442,0.033596709,0.019305019,0.03043754,0.030745784,0.07984627,0.10814034,0.027532054,0.13544048,0.038100917000000005,0.016300566000000002,0.034854058,0.08259616,0.2640228,0.11125468,0.034555875,0.036610011,0.11665507,0.22409967,0.032965577999999995,0.017327635,0.071629725,0.044495247,0.024749031,0.10820661,0.11251367,0.012324818,0.10227612,0.078786075,0.053970776,0.048319746,0.06267647400000001,0.053529527,0.055478226,0.052137602000000005,0.05456353,0.051143367,0.040047724,0.043428116,0.088844702,0.1090873,0.13879499,0.090833165,0.042592961,0.068522573,0.18139814,0.13780476,0.10850086,0.07458818,0.10639411,0.091194965,0.20788531,0.031723514,0.048130102,4.0,0.914999992,4.807354922,1.584962501,27.0,2.0,23.0,2.0,1746,1746
vha_405QB,405,1734 Crawford Farm Road,Newport,VT,50019,14.71596199,15.47855525,17.19448366,0.50258261,0.19635093,0.071680725,0.10854297,0.11393110000000002,0.13507488,0.15748207,0.13076437,0.062130727,0.024042213,0.96414107,0.004459143,0.005350972,0.00237821,0.52430063,0.13332152,0.50756425,0.27611941,0.13102853,0.08528784699999999,0.044590473,0.05422058,0.03465268,0.020725388,0.040336136,0.058298536,0.10054860000000003,0.10267747,0.014984033,0.12069107,0.041185621,0.008924916,0.040694341,0.047817901,0.25399163,0.086874641,0.053140096,0.070171133,0.13403749,0.20510931,0.027593547000000003,0.029558668,0.046425939000000006,0.038483582,0.029476788,0.099975437,0.11315811,0.02235323,0.11135675,0.07737656700000001,0.06509456799999999,0.067471527,0.07012587,0.066187173,0.053086735,0.065759055,0.063190341,0.044010617,0.045979965,0.042041272000000005,0.085880637,0.11268088,0.12569569,0.065759055,0.036903843,0.055227332,0.19609725,0.14519545,0.13730992,0.14120829,0.13854967,0.088888891,0.10714286,0.04057743,0.049692314,4.0,0.8555922220000001,4.807354922,1.584962501,27.0,2.0,23.0,2.0,931,931
vha_436,436,3687 Veterans Drive,Fort Harrison,MT,30049,16.03355205,15.47855525,17.7020995,0.49474484,0.21724287,0.082114585,0.12531866,0.11874413,0.12804687,0.15549295,0.10759277,0.042413943,0.02303323,0.93804133,0.0027580240000000004,0.017994246000000002,0.006321094,0.5186581,0.14626111,0.29478478,0.31970125,0.2387812,0.14673278,0.031156853,0.040783841,0.021044742,0.07431629299999999,0.093423478,0.02028792,0.054304291,0.03677367,0.01207407,0.099233761,0.02940152,0.014889418,0.080484122,0.10077205,0.22020665,0.099088639,0.054043073,0.17844082,0.18523249,0.27021536,0.019504266,0.017907936,0.064433739,0.03567075,0.029343473,0.099930339,0.11717072,0.006675568000000001,0.071602717,0.028472746,0.053839903,0.046007194,0.045395683,0.033920862,0.047014389,0.040935252000000005,0.051115107,0.041978419,0.047230218,0.040215828,0.086942449,0.11708633,0.14687051,0.099028774,0.060503598,0.095755398,0.15934332,0.14491639,0.10917896,0.082770713,0.10672078,0.63291138,0.24580018,0.067431189,0.053153671,14.0,0.779999991,6.442943496,2.0,86.0,14.0,69.0,3.0,3375,1688
vha_436A4,436,210 South Winchester Avenue,Miles City,MT,30017,13.53211237,15.47855525,17.18107986,0.50274378,0.21865766,0.07885183400000001,0.13035037,0.11034191,0.12368087,0.15103419,0.10147741,0.054959897,0.030645842000000006,0.93904603,0.005740819,0.019670747,0.00287041,0.52305478,0.12381639,0.37038818,0.40499941,0.15034251,0.074269921,0.020163735,0.022588523,0.017771084,0.04857143,0.090909094,0.083861984,0.071329102,0.03202847,0.03605137,0.15673836,0.051524062,0.013461241,0.047655888,0.050595697,0.2409098,0.08943215,0.030171746,0.096240133,0.15782145,0.17623395,0.031873744,0.032956831,0.052142967,0.034968279,0.026458301,0.11712827,0.14900202,0.023363763,0.087265976,0.031719018,0.07906545,0.061566781,0.043771733,0.041521784,0.049907956,0.058907751,0.048885252,0.05358969,0.057885047,0.046635304,0.066066682,0.099815913,0.14931479,0.091225199,0.059930455,0.070975661,0.15902294,0.095980309,0.096665695,0.10405728,0.094592087,0.0,0.31756756,0.050108224000000014,0.05800866,4.0,0.7099999790000001,6.442943496,2.0,86.0,14.0,69.0,3.0,481,481
