VA Station Number,HCS,Address,City,State,County FIPS,Cases,Active,Convalescent,Deaths
vha_358,358,1501 Roxas Boulevard,Pasay City,PH,25011.0,,,,
vha_402,402,1 VA Center,Augusta,ME,23011.0,,,,
vha_402GA,402,163 Van Buren Road,Caribou,ME,23003.0,,,,
vha_402GB,402,50 Union Street,Calais,ME,23029.0,,,,
vha_402GC,402,431 Franklin Street,Rumford,ME,23017.0,,,,
vha_402GD,402,655 Main Street,Saco,ME,23031.0,,,,
vha_402GE,402,15 Challenger Drive,Lewiston,ME,23001.0,,,,
vha_402GF,402,99 River Road,Lincoln,ME,23019.0,,,,
vha_402HB,402,35 State Hospital Street,Bangor,ME,23019.0,,,,
vha_402HC,402,144 Fore Street,Portland,ME,23005.0,,,,
vha_402HL,402,241 Main Street,Bingham,ME,23025.0,,,,
vha_402QA,402,197 East Main Street,Fort Kent,ME,23003.0,,,,
vha_402QB,402,20 Hartford Street,Houlton,ME,23003.0,,,,
vha_405,405,163 Veterans Drive,White River Junction,VT,50027.0,27.0,2.0,23.0,2.0
vha_405GA,405,186 North Street,Bennington,VT,50003.0,,,,
vha_405GC,405,71 GSP Drive,Brattleboro,VT,50025.0,,,,
vha_405HA,405,128 Lakeside Avenue,Burlington,VT,50007.0,,,,
vha_405HC,405,264 Cottage Street,Littleton,NH,33009.0,,,,
vha_405HE,405,640 Marlboro Street,Keene,NH,33005.0,,,,
vha_405HF,405,232 West Street,Rutland,VT,50021.0,,,,
vha_405QB,405,1734 Crawford Farm Road,Newport,VT,50019.0,,,,
vha_436,436,3687 Veterans Drive,Fort Harrison,MT,30049.0,86.0,14.0,69.0,3.0
vha_436A4,436,210 South Winchester Avenue,Miles City,MT,30017.0,,,,
vha_436GA,436,118 East 7th Street,Anaconda,MT,30023.0,,,,
vha_436GB,436,1400 29th Street South,Great Falls,MT,30013.0,,,,
vha_436GC,436,2687 Palmer Street,Missoula,MT,30063.0,,,,
vha_436GD,436,300 North Willson Avenue,Bozeman,MT,30031.0,,,,
vha_436GF,436,31 Three Mile Drive,Kalispell,MT,30029.0,,,,
vha_436GH,436,1766 Majestic Lane,Billings,MT,30111.0,,,,
vha_436GI,436,630 2nd Avenue South,Glasgow,MT,30105.0,,,,
vha_436GK,436,2000 Montana Avenue,Glendive,MT,30021.0,,,,
vha_436GL,436,8 Second Avenue Southeast,Cut Bank,MT,30035.0,,,,
vha_436GM,436,629 Northeast Main Street,Lewistown,MT,30027.0,,,,
vha_436GN,436,1775 Spring Creek Lane,Billings,MT,30111.0,,,,
vha_436HC,436,130 13th Street,Havre,MT,30041.0,,,,
vha_436QA,436,299 Fairgrounds Road,Hamilton,MT,30081.0,,,,
vha_436QB,436,440 West Laurel Avenue,Plentywood,MT,30091.0,,,,
vha_436QC,436,2271 Deerfield Lane,Helena,MT,30049.0,,,,
vha_436QD,436,5535 Haul Road,Browning,MT,30035.0,,,,
vha_437,437,2101 Elm Street North,Fargo,ND,38017.0,192.0,32.0,143.0,17.0
vha_437GA,437,1319 West 11th Street,Grafton,ND,38099.0,,,,
vha_437GB,437,2700 State Street,Bismarck,ND,38015.0,,,,
vha_437GC,437,1839 North Park Street,Fergus Falls,MN,27111.0,,,,
vha_437GD,437,3400 South Broadway Street,Minot,ND,38101.0,,,,
vha_437GE,437,1217 Anne Street NW,Bemidji,MN,27007.0,,,,
vha_437GF,437,1542 16th Street West,Williston,ND,38105.0,,,,
vha_437GI,437,3221 32nd Avenue South,Grand Forks,ND,38035.0,,,,
vha_437GJ,437,766 Elks Drive,Dickinson,ND,38089.0,,,,
vha_437GK,437,2430 20th Street Southwest,Jamestown,ND,38093.0,,,,
vha_437GL,437,1031 7th Street Northeast,Devils Lake,ND,38071.0,,,,
vha_437QA,437,721 1st Avenue North,Fargo,ND,38017.0,192.0,32.0,143.0,17.0
vha_438,438,2501 West 22nd Street,Sioux Falls,SD,46099.0,191.0,37.0,143.0,11.0
vha_438GA,438,1850 Royal Avenue,Spirit Lake,IA,19059.0,,,,
vha_438GC,438,380 West Anchor Drive,Dakota Dunes,SD,46127.0,,,,
vha_438GD,438,2301 8th Ave Northeast,Aberdeen,SD,46013.0,,,,
vha_438GE,438,400 West South Dakota Highway 46,Wagner,SD,46023.0,,,,
vha_438GF,438,4 19th Street Northeast,Watertown,SD,46029.0,,,,
vha_442,442,2360 East Pershing Boulevard,Cheyenne,WY,56021.0,54.0,2.0,50.0,2.0
vha_442GB,442,1116 10th Avenue,Sidney,NE,31033.0,,,,
vha_442GC,442,2509 Research Boulevard,Fort Collins,CO,8069.0,,,,
vha_442GD,442,5200 Hahns Peak Drive,Loveland,CO,8069.0,,,,
vha_442HK,442,759 East Cole Street,Wheatland,WY,56031.0,,,,
vha_442QA,442,1809 East Daley Street,Rawlins,WY,56007.0,,,,
vha_442QB,442,908 West 25th Avenue,Torrington,WY,56015.0,,,,
vha_442QD,442,2901 Armory Road,Laramie,WY,56001.0,,,,
vha_442QE,442,100 College Avenue,Sterling,CO,8075.0,,,,
vha_459,459,459 Patterson Road,Honolulu,HI,15003.0,130.0,17.0,110.0,3.0
vha_459GA,459,203 Ho'ohana Street,Kahului,HI,15009.0,,,,
vha_459GB,459,45 Mohouli Street,Hilo,HI,15001.0,,,,
vha_459GC,459,75-377 Hualalai Road,Kailua-Kona,HI,15001.0,,,,
vha_459GD,459,4485 Pahe'e Street,Lihue,HI,15007.0,,,,
vha_459GE,459,498 Chalan Palasyo,Agana Heights,GU,66010.0,,,,
vha_459GF,459,Fiatele Teo Army Reserve Building,Pago Pago,AS,60010.0,,,,
vha_459GG,459,91-2135 Fort Weaver Road,Ewa Beach,HI,15003.0,,,,
vha_459GH,459,Marina Heights Business Park - Garapan,Saipan,MP,69110.0,,,,
vha_459QA,459,628-B Seventh Street,Lanai City,HI,15009.0,,,,
vha_459QB,459,280 Home Olu Place,Kaunakakai,HI,15009.0,,,,
