VA Station Number,Address,City,State,Zip
vha_667QA,3000 Knight Street,Shreveport,LA,71105-2502
vha_668,4815 North Assembly Street,Spokane,WA,99205-6185
vha_668GA,2530 Chester Kimm Road,Wenatchee,WA,98801-8130
vha_668GB,915 West Emma Avenue,Coeur d'Alene,ID,83814-2531
vha_668HK,4815 North Assembly Street,Spokane,WA,99205-6185
vha_668QB,211 East 2nd Street,Libby,MT,59923-2047
vha_668QD,30410 Highway 200,Ponderay,ID,83852-9601
vha_668QE,705 West 2nd Avenue,Spokane,WA,99201-4412
vha_671,7400 Merton Minter Boulevard,San Antonio,TX,78229-4404
vha_671A4,3600 Memorial Boulevard,Kerrville,TX,78028-5768
vha_671BY,5788 Eckert Road,San Antonio,TX,78240-3900
vha_671GB,1908 North Laurent Street,Victoria,TX,77901-5417
vha_671GF,4610 East Southcross Boulevard,San Antonio,TX,78222-4911
vha_671GH,302 South Hillside Drive,Beeville,TX,78102-5333
vha_671GK,4318 Woodcock Drive,San Antonio,TX,78228-1315
vha_671GK01,2391 Northeast Loop 410,San Antonio,TX,78217-5675
vha_671GK02,1714 Southwest Military Drive,San Antonio,TX,78221-1418
vha_671GK03,4243 East Southcross Boulevard,San Antonio,TX,78222-3750
vha_671GL,705 Landa Street,New Braunfels,TX,78130-4170
vha_671GN,526 East Court Street,Seguin,TX,78155-5712
vha_671GO,17440 Henderson Pass,San Antonio,TX,78232-1662
vha_671GP,4522 Fredricksburg Road,San Antonio,TX,78201-6521
vha_671GQ,4350 Lockhill-Selma Road,San Antonio,TX,78249-2166
vha_671GR,16019 Nacogdoches Road,San Antonio,TX,78247-1128
vha_671QA,3600 Memorial Boulevard,Kerrville,TX,78028-5768
vha_671QB,8410 Data Point Drive,San Antonio,TX,78229-3220
vha_672,10 Calle Casia,San Juan,PR,00921-3201
vha_672B0,1010 Paseo Del Veterano,Ponce,PR,00716-2001
vha_672BZ,345 Avenida Hostos,Mayaguez,PR,00680-1507
vha_672GA,10553 Kingshill,St. Croix,VI,00850-4701
vha_672GB,50 Estates Thomas,Saint Thomas,VI,802
vha_672GC,Avenida VÃ­ctor Rojas II,Arecibo,PR,616
vha_672GD,"PR-3, Kilometers 54.9",Pueblo Ward,PR,735
vha_672GE,850 Calle Arnaldo Bristol,Guayama,PR,00784-6876
vha_672QA,Jose de Diego Street,Comerio,PR,00782-2531
vha_672QB,Calle Isaac Gonzalez Esquina Ledesma,Utuado,PR,00641-2660
vha_672QC,Road 997,Vieques,PR,00765-0326
vha_673,13000 Bruce B. Downs Boulevard,Tampa,FL,33612-4745
vha_673BV,4700 North Habana Avenue,Tampa,FL,33606-7160
vha_673BZ,9912 Little Road,New Port Richey,FL,34654-3419
vha_673GB,4237 South Pipkin Road,Lakeland,FL,33811-1442
vha_673GC,14540 Cortez Boulevard,Brooksville,FL,34613-6001
vha_673GF,6937 Medical View Lane,Zephyrhills,FL,33542-6648
vha_673GG,12920 Summerfield Crossing Boulevard,Riverview,FL,33579-7210
vha_673GH,2804 West Marc Knighton Court,Lecanto,FL,34461
vha_673QA,14014 North 46th Street,Tampa,FL,33612-9998
vha_673QB,10770 North 46th Street,Tampa,FL,33617-3442
vha_673QC,4231 South Pipkin Road,Lakeland,FL,33811-1442
vha_673QD,5138 Deer Park Boulevard,New Port Richey,FL,34653-7027
vha_673QE,110210 US Highway 19 North,New Port Richey,FL,34668-2213
vha_673QF,14517 Bruce B. Downs Boulevard,Tampa,FL,33613-2755
vha_673QG,7701 Little Road,New Port Richey,FL,34652-5403
vha_673QH,12210 Bruce B. Downs Boulevard,Tampa,FL,33612-9211
vha_673QI,6938 Medical View Lane,Zephyrhills,FL,33542-6848
vha_673QJ,13515 Lake Terrace Lane,Tampa,FL,33637-1003
vha_673QK,13000 Bruce B. Downs Boulevard,Tampa,FL,33612-4745
vha_673QL,13000 Bruce B. Downs Boulevard,Tampa,FL,33612-4745
