"VA Station Number",Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code"
vha_667QA,"3000 Knight Street",Shreveport,LA,71105-2502,32.481621,-93.705107,0.9,range_interpolation,3000,"Knight St",,,Shreveport,LA,"Caddo Parish",71104,US,"TIGER/Line® dataset from the US Census Bureau",2019,22,22017,Shreveport,2270000,022900,1002,1,220170229001002,"Shreveport-Bossier City, LA",43340,metropolitan,"Shreveport-Bossier City-Minden, LA",508,,
vha_668,"4815 North Assembly Street",Spokane,WA,99205-6185,47.702933,-117.47623,1,rooftop,4815,"N Assembly St",,,Spokane,WA,"Spokane County",99205,US,"City of Spokane",2019,53,53063,Spokane,5367000,000900,6047,6,530630009006047,"Spokane-Spokane Valley, WA",44060,metropolitan,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,
vha_668GA,"2530 Chester Kimm Road",Wenatchee,WA,98801-8130,47.463311,-120.334698,1,rooftop,2530,"Chester Kimm Rd",,,Wenatchee,WA,"Chelan County",98801,US,Chelan,2019,53,53007,Wenatchee,5377105,960700,2049,2,530079607002049,"Wenatchee, WA",48300,metropolitan,,,,
vha_668GB,"915 West Emma Avenue","Coeur d'Alene",ID,83814-2531,47.693045,-116.796899,1,rooftop,915,"W Emma Ave",,,"Coeur D Alene",ID,"Kootenai County",83814,US,Kootenai,2019,16,16055,"Coeur d'Alene",1616750,000900,2027,2,160550009002027,"Coeur d'Alene, ID",17660,metropolitan,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,
vha_668HK,"4815 North Assembly Street",Spokane,WA,99205-6185,47.702933,-117.47623,1,rooftop,4815,"N Assembly St",,,Spokane,WA,"Spokane County",99205,US,"City of Spokane",2019,53,53063,Spokane,5367000,000900,6047,6,530630009006047,"Spokane-Spokane Valley, WA",44060,metropolitan,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,
vha_668QB,"211 East 2nd Street",Libby,MT,59923-2047,48.393026,-115.548697,1,rooftop,211,"E 2nd St",,,Libby,MT,"Lincoln County",59923,US,Lincoln,2019,30,30053,Libby,3043450,000200,2015,2,300530002002015,,,,,,,
vha_668QD,"30410 Highway 200",Ponderay,ID,83852-9601,48.296673,-116.543665,1,rooftop,30410,"Highway 200",,,Ponderay,ID,"Bonner County",83852,US,Bonner,2019,16,16017,Ponderay,1664450,950200,6015,6,160179502006015,"Sandpoint, ID",41760,micropolitan,,,,
vha_668QE,"705 West 2nd Avenue",Spokane,WA,99201-4412,47.654372,-117.422446,1,rooftop,705,"W 2nd Ave",,,Spokane,WA,"Spokane County",99201,US,"City of Spokane",2019,53,53063,Spokane,5367000,003500,1063,1,530630035001063,"Spokane-Spokane Valley, WA",44060,metropolitan,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,
vha_671,"7400 Merton Minter Boulevard","San Antonio",TX,78229-4404,29.506013,-98.580914,1,rooftop,7400,"Merton Minter",,,"San Antonio",TX,"Bexar County",78229,US,"San Antonio",2019,48,48029,"San Antonio",4865000,181402,1008,1,480291814021008,"San Antonio-New Braunfels, TX",41700,metropolitan,"San Antonio-New Braunfels-Pearsall, TX",484,,
vha_671A4,"3600 Memorial Boulevard",Kerrville,TX,78028-5768,30.016006,-99.118827,1,range_interpolation,3600,"Memorial Blvd",,,Kerrville,TX,"Kerr County",78028,US,"TIGER/Line® dataset from the US Census Bureau",2019,48,48265,Kerrville,4839040,960100,2107,2,482659601002107,"Kerrville, TX",28500,micropolitan,"Kerrville-Fredericksburg, TX",314,,
